comuna,municipio,edad,sexo,máximo_nivel_educativo_alcanzado,grupo_poblacional,tipo_de_contrato,profesión_u_ocupación,salario,cargo_solicitado,nivel_del_cargo,No_días_del_registro_hasta_contratación,No_días_de_la_postulación_hasta_contratación,No_días_del_empleador_en_cubrir_vacante
4,medellin,28,femenino,técnico,ninguno,termino fijo,auxiliar  en gerontologia,689454,asesor de servicio al cliente,operativo,26,25,38.0
4,medellin,36,masculino,secundaria,ninguno,termino fijo,no dato,689455,asesor comercial,comercial,318,11,17.0
4,medellin,31,femenino,técnico,ninguno,termino fijo,mercadeo,689455,asesor comercial,comercial,15,11,17.0
11,medellin,25,femenino,profesional,ninguno,termino indefinido,profesional,900000,auxiliar de contabilidad,operativo,105,19,26.0
3,medellin,31,masculino,secundaria,ninguno,termino fijo,aux limpieza,689455,auxiliar de limpieza,operativo,48,31,38.0
99,bello,43,masculino,técnica,ninguno,termino fijo,gestión empresarial,701885,asesor comercial call center,comercial,326,14,16.0
60,medellin,43,femenino,técnica,ninguno,termino fijo,derecho,701885,asesor comercial call center,comercial,803,14,16.0
2,medellin,20,femenino,secundaria,ninguno,termino fijo,asesor comercial,701885,asesor comercial call center,comercial,105,14,16.0
99,la tablaza,21,masculino,secundaria,ninguno,termino fijo,no dato,701885,asesor comercial call center,comercial,338,16,18.0
3,medellin,41,femenino,técnica,ninguno,termino fijo,tecnica profesional en administracion,701885,asesor comercial call center,comercial,35,16,18.0
6,medellin,34,femenino,técnica,ninguno,termino indefinido,profesional en secretariado (3676 horas),1000000,asesor comercial,comercial,518,6,41.0
16,medellin,21,femenino,técnica,ninguno,termino fijo,técnico laboral en secretariado ejecutivo,701885,asesor comercial call center,comercial,771,16,18.0
14,medellin,21,masculino,profesional,ninguno,termino fijo,historia,701885,asesor comercial call center,comercial,5,16,18.0
4,medellin,23,femenino,técnica,ninguno,termino fijo,gestion comercial y telemercadeo,701885,asesor comercial call center,comercial,13,16,18.0
99,el trapiche,24,femenino,técnica,ninguno,termino fijo,administrativo en salud,701885,asesor comercial call center,comercial,97,16,18.0
5,medellin,22,femenino,técnica,ninguno,termino fijo,gestion de talento humano,701885,asesor comercial call center,comercial,392,16,18.0
13,medellin,31,femenino,técnica,ninguno,termino fijo,ventas turisticas,701885,asesor comercial call center,comercial,324,16,18.0
8,medellin,31,femenino,técnica,ninguno,termino fijo,profesional central ambiental,701885,asesor comercial call center,comercial,345,16,18.0
3,medellin,19,femenino,técnica,ninguno,termino fijo,gestion comercial y telemercadeo,701885,asesor comercial call center,comercial,12,16,18.0
3,medellin,19,femenino,técnica,ninguno,termino fijo,primer respondiente,701885,asesor comercial call center,comercial,12,16,18.0
9,medellin,38,femenino,técnica,ninguno,termino fijo,mesa y bar,701885,asesor comercial call center,comercial,328,14,16.0
8,medellin,34,femenino,técnica,ninguno,termino fijo,mercadeo y ventas,701885,asesor comercial call center,comercial,841,16,18.0
16,medellin,27,femenino,técnica,ninguno,termino fijo,contabilidad,701885,asesor comercial call center,comercial,476,16,18.0
13,medellin,19,femenino,no dato,ninguno,termino fijo,bachiller,701885,asesor comercial call center,comercial,12,16,18.0
3,medellin,26,femenino,técnica,ninguno,termino fijo,venta de productos y atención al cliente,701885,asesor comercial call center,comercial,795,16,18.0
16,medellin,36,femenino,técnica,ninguno,termino fijo,auxiliar en servicios aereos,701885,asesor comercial call center,comercial,434,16,18.0
99,mirador,32,femenino,técnica,ninguno,termino fijo,recreacionista,701885,asesor comercial call center,comercial,99,16,18.0
9,medellin,26,masculino,técnica,ninguno,termino fijo,ensamble y mantenimiento,701885,asesor comercial call center,comercial,461,14,16.0
12,medellin,56,femenino,técnica,ninguno,termino fijo,"auxiliar de contabilidad, auxliliar de costos",701885,asesor comercial call center,comercial,338,16,18.0
4,medellin,26,femenino,técnica,ninguno,termino fijo,telecomunicaciones,701885,asesor comercial call center,comercial,13,16,18.0
99,perez,40,femenino,técnica,ninguno,termino fijo,secretariado gerencial,701885,asesor comercial call center,comercial,301,14,16.0
4,medellin,35,femenino,técnica,ninguno,termino fijo,salud ocupacional,701885,asesor comercial call center,comercial,68,16,18.0
2,medellin,42,femenino,técnica,ninguno,prestación de servicios,secreraria ejecutiva sistematizada,1100000,auxiliar de cocina,operativo,674,1,3.0
10,medellin,47,femenino,secundaria,ninguno,obra o labor,bachiller,689455,operador logistico de estacionamiento,operativo,295,8,14.0
3,medellin,23,masculino,secundaria,ninguno,obra o labor,bachiller,689455,operador logistico de estacionamiento,operativo,1013,8,14.0
5,medellin,25,femenino,tecnológico,ninguno,obra o labor,ambiental,936000,promotor ambiental,técnico,27,17,34.0
99,bello,24,masculino,secundaria,ninguno,termino indefinido,bachiller,689455,vigilantes de seguridad,operativo,7,8,59.0
16,medellin,29,masculino,secundaria,ninguno,termino indefinido,bachiller,689455,vigilantes de seguridad,operativo,7,8,59.0
15,medellin,20,masculino,secundaria,ninguno,obra o labor,bodeguero,689454,auxiliar centro de almacenamiento y distribucción,operativo,13,10,14.0
3,medellin,23,masculino,secundaria,ninguno,obra o labor,bodeguero,689454,auxiliar centro de almacenamiento y distribucción,operativo,54,10,14.0
9,medellin,19,masculino,secundaria,ninguno,obra o labor,bodeguero,689454,auxiliar centro de almacenamiento y distribucción,operativo,14,10,14.0
8,medellin,18,masculino,secundaria,ninguno,obra o labor,bodeguero,689454,auxiliar centro de almacenamiento y distribucción,operativo,67,10,14.0
16,medellin,31,femenino,secundaria,ninguno,obra o labor,bodeguero,689454,auxiliar centro de almacenamiento y distribucción,operativo,27,2,7.0
11,medellin,24,masculino,técnico,ninguno,obra o labor,bodeguero,689454,auxiliar centro de almacenamiento y distribucción,operativo,14,2,2.0
15,medellin,27,femenino,técnico,ninguno,obra o labor,bodeguero,689454,auxiliar centro de almacenamiento y distribucción,operativo,13,2,2.0
4,medellin,27,masculino,secundaria,ninguno,obra o labor,bodeguero,689454,auxiliar centro de almacenamiento y distribucción,operativo,13,2,2.0
99,bello,32,femenino,secundaria,ninguno,obra o labor,bodeguero,689454,auxiliar centro de almacenamiento y distribucción,operativo,56,2,2.0
3,medellin,28,masculino,secundaria,ninguno,obra o labor,bodeguero,689454,auxiliar centro de almacenamiento y distribucción,operativo,37,3,3.0
99,envigado,37,masculino,secundaria,ninguno,obra o labor,bodeguero,689454,auxiliar centro de almacenamiento y distribucción,operativo,10,3,3.0
4,medellin,32,femenino,secundaria,ninguno,termino fijo,conductor,689455,conductor,operativo,373,7,11.0
1,medellin,57,masculino,secundaria,ninguno,prestación de servicios,deporte,1589000,promotor deportivo,operativo,25,20,24.0
1,medellin,25,femenino,tecnológico,ninguno,prestación de servicios,instructor,1589000,promotor deportivo,operativo,25,20,24.0
1,medellin,34,masculino,técnico,ninguno,prestación de servicios,instructor,1589000,promotor deportivo,operativo,25,20,24.0
3,medellin,27,femenino,profesional,ninguno,prestación de servicios,instructor,1589000,promotor deportivo,operativo,25,20,24.0
3,medellin,20,femenino,tecnológico,ninguno,prestación de servicios,instructor,1589000,promotor deportivo,operativo,25,20,24.0
4,medellin,27,masculino,profesional,ninguno,prestación de servicios,instructor,1589000,promotor deportivo,operativo,25,20,24.0
9,medellin,54,masculino,profesional,ninguno,prestación de servicios,instructor,1589000,promotor deportivo,operativo,25,20,24.0
80,medellin,40,masculino,especialización,ninguno,prestación de servicios,instructor,1589000,promotor deportivo,operativo,25,20,24.0
90,medellin,25,masculino,profesional,ninguno,prestación de servicios,instructor,1589000,promotor deportivo,operativo,25,20,24.0
16,medellin,24,masculino,tecnológico,ninguno,termino indefinido,tecnológico,703000,operario agrícola,operativo,12,10,30.0
1,medellin,38,masculino,técnico,ninguno,termino indefinido,técnico,703000,operario agrícola,operativo,48,10,30.0
2,medellin,22,femenino,secundaria,ninguno,termino indefinido,secundaria,703000,operario agrícola,operativo,10,10,30.0
2,medellin,37,femenino,secundaria,ninguno,termino indefinido,secundaria,703000,operario agrícola,operativo,10,10,30.0
4,medellin,35,femenino,primaria,ninguno,termino indefinido,primaria,703000,operario agrícola,operativo,81,10,30.0
3,medellin,30,masculino,secundaria,ninguno,termino indefinido,bachiller,703000,operario agrícola,operativo,10,10,30.0
99,bello,18,masculino,secundaria,ninguno,termino indefinido,bachiller,703000,operario agrícola,operativo,112,10,30.0
99,bello,18,masculino,secundaria,ninguno,termino indefinido,bachiller,703000,operario agrícola,operativo,112,10,30.0
7,medellin,23,femenino,secundaria,ninguno,termino indefinido,bachiller,703000,operario agrícola,operativo,529,10,30.0
8,medellin,24,femenino,secundaria,ninguno,termino indefinido,noveno,703000,operario agrícola,operativo,13,10,30.0
9,medellin,19,femenino,tecnológico,ninguno,termino indefinido,tecnológico,703000,operario agrícola,operativo,20,10,30.0
16,medellin,35,femenino,secundaria,ninguno,termino indefinido,bachiller,703000,operario agrícola,operativo,542,10,30.0
16,medellin,28,femenino,técnico,ninguno,termino indefinido,técnico,703000,operario agrícola,operativo,462,10,30.0
1,medellin,33,femenino,técnico,ninguno,termino indefinido,técnico,703000,operario agrícola,operativo,7,10,30.0
3,medellin,46,masculino,secundaria,ninguno,termino indefinido,bachiller,703000,operario agrícola,operativo,119,10,30.0
1,medellin,18,femenino,secundaria,ninguno,termino indefinido,bachiller,703000,operario agrícola,operativo,81,10,30.0
16,medellin,18,femenino,secundaria,ninguno,termino indefinido,bachiller,703000,operario agrícola,operativo,10,10,30.0
16,medellin,21,femenino,secundaria,ninguno,termino indefinido,bachiller,703000,operario agrícola,operativo,10,10,30.0
99,bello,29,masculino,secundaria,ninguno,termino indefinido,vigilante,689454,guardas de seguridad,operativo,11,9,13.0
1,medellin,22,masculino,secundaria,ninguno,termino indefinido,vigilante,689454,guardas de seguridad,operativo,17,14,18.0
80,medellin,26,masculino,secundaria,ninguno,termino indefinido,bachiller,786000,domiciliario,operativo,10,11,18.0
80,medellin,37,masculino,tecnológico,ninguno,termino indefinido,tecnólogo,786000,domiciliario,operativo,10,11,18.0
6,medellin,35,masculino,secundaria,ninguno,termino indefinido,bachiller,786000,domiciliario,operativo,14,11,18.0
